2022-05-23 20:01:25,523 [  54589]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework.boot:spring-boot-starter-cache::2.6.3, was also in node: null
2022-05-23 20:01:25,524 [  54590]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading com.stoyanr:evictor::1.0.0, was also in node: null
2022-05-23 20:01:25,524 [  54590]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.glassfish.jaxb:jaxb-runtime::2.3.5, was also in node: null
2022-05-23 20:01:25,524 [  54590]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.glassfish.jaxb:txw2::2.3.5, was also in node: null
2022-05-23 20:01:25,524 [  54590]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework.boot:spring-boot-starter-test::2.6.3, was also in node: null
2022-05-23 20:01:25,524 [  54590]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework.boot:spring-boot-test::2.6.3, was also in node: null
2022-05-23 20:01:25,524 [  54590]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework.boot:spring-boot-test-autoconfigure::2.6.3, was also in node: null
2022-05-23 20:01:25,524 [  54590]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading net.minidev:json-smart::2.4.7, was also in node: null
2022-05-23 20:01:25,525 [  54591]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading net.minidev:accessors-smart::2.4.7, was also in node: null
2022-05-23 20:01:25,525 [  54591]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework:spring-jcl::5.3.15, was also in node: null
2022-05-23 20:01:25,525 [  54591]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework:spring-test::5.3.15, was also in node: null
2022-05-23 20:01:35,652 [  64718]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework.boot:spring-boot-maven-plugin::2.6.3, was also in node: null
2022-05-23 20:01:36,672 [  65738]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework.boot:spring-boot-buildpack-platform::2.6.3, was also in node: null
2022-05-23 20:01:36,673 [  65739]   WARN - #c.i.b.BuildTreeConsoleView - start event id collision found:Downloading org.springframework.boot:spring-boot-loader-tools::2.6.3, was also in node: null
